programId,level,location,exercise_count,count_within_tolerance_3,flag
human_flag,5,airport,0,2,CLIFF
human_flag,5,gym,0,3,CLIFF
human_flag,5,home,0,2,CLIFF
human_flag,5,office,0,2,CLIFF
human_flag,5,park,0,2,CLIFF
human_flag,5,service,0,2,CLIFF
human_flag,5,street,0,2,CLIFF
human_flag,6,airport,0,1,CLIFF
human_flag,6,gym,0,5,THIN
human_flag,6,home,0,1,CLIFF
human_flag,6,office,0,1,CLIFF
human_flag,6,park,0,4,THIN
human_flag,6,service,0,1,CLIFF
human_flag,6,street,0,1,CLIFF
human_flag,7,airport,0,0,CLIFF
human_flag,7,gym,1,5,THIN
human_flag,7,home,0,0,CLIFF
human_flag,7,office,0,0,CLIFF
human_flag,7,park,1,4,THIN
human_flag,7,service,0,0,CLIFF
human_flag,7,street,0,0,CLIFF
human_flag,8,airport,0,0,CLIFF
human_flag,8,gym,0,5,THIN
human_flag,8,home,0,0,CLIFF
human_flag,8,office,0,0,CLIFF
human_flag,8,park,0,4,THIN
human_flag,8,service,0,0,CLIFF
human_flag,8,street,0,0,CLIFF
human_flag,9,airport,0,0,CLIFF
human_flag,9,gym,3,5,THIN
human_flag,9,home,0,0,CLIFF
human_flag,9,office,0,0,CLIFF
human_flag,9,park,2,4,THIN
human_flag,9,service,0,0,CLIFF
human_flag,9,street,0,0,CLIFF
human_flag,10,airport,0,0,CLIFF
human_flag,10,gym,1,5,THIN
human_flag,10,home,0,0,CLIFF
human_flag,10,office,0,0,CLIFF
human_flag,10,park,1,4,THIN
human_flag,10,service,0,0,CLIFF
human_flag,10,street,0,0,CLIFF
legs,1,airport,10,27,OK
legs,1,gym,10,27,OK
legs,1,home,10,27,OK
legs,1,office,10,27,OK
legs,1,park,8,21,OK
legs,1,service,10,27,OK
legs,1,street,10,27,OK
legs,2,airport,3,39,OK
legs,2,gym,3,39,OK
legs,2,home,3,39,OK
legs,2,office,3,39,OK
legs,2,park,2,28,OK
